City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Caravelas,BR,77.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
280,Anito,PH,79.43,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
282,Yellandu,IN,78.94,broken clouds,17.6,80.3333,Satyanarayana Chekuri
290,Bontang,ID,78.21,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
291,Manokwari,ID,79.68,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
292,Wakema,MM,78.89,few clouds,16.6,95.1833,AungKaDay Hotel
293,Banda Aceh,ID,78.58,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
295,Axim,GH,79.7,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
303,Kontagora,NG,83.5,light rain,10.3999,5.4695,Queens Guest Inn
305,Creel,MX,80.47,scattered clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
307,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
310,Alugan,PH,80.96,overcast clouds,12.2188,125.4808,JM Lodge
313,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
314,Coahuayana,MX,86.47,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
315,Arlit,NE,77.36,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
320,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
332,Mazatan,MX,87.62,overcast clouds,14.8667,-92.45,Jose Luis Villalobos De La Cruz
333,Bubaque,GW,75.31,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
340,San Policarpo,PH,81.5,overcast clouds,12.1791,125.5072,Agapita M. Nicart
342,Pangai,TO,84.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
349,Manicore,BR,76.14,overcast clouds,-5.8092,-61.3003,Hotel Durval
353,Minab,IR,79.56,clear sky,27.1467,57.0801,Bam campground
354,Luanda,AO,78.8,light intensity drizzle,-8.8368,13.2343,EPIC SANA Luanda
364,Fayaoue,NC,78.67,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
366,Ladario,BR,82.69,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
369,Bom Jesus,BR,76.42,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
371,Karratha,AU,82.15,few clouds,-20.7377,116.8463,ibis Styles Karratha
372,Lagunas,PE,79.66,light rain,-5.2269,-75.6753,Hospedaje Eco
378,Batatais,BR,76.98,scattered clouds,-20.8911,-47.585,Castelo Palace Hotel
380,Tema,GH,82.81,scattered clouds,5.667,-0.0166,Beulah Royale Hotel Tema
383,Palu,ID,75.11,broken clouds,-0.8917,119.8707,Hotel Santika Palu
395,Kupang,ID,77.72,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
398,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
400,Tautira,PF,81.19,few clouds,-17.7333,-149.15,Pension Oaoa
402,Kuching,MY,77.22,thunderstorm,1.55,110.3333,Hilton Kuching
404,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
405,Tayu,ID,78.75,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
419,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
420,Gigmoto,PH,77.61,scattered clouds,13.7796,124.39,Cj's Travellers Inn
422,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
429,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
430,Santiago De Cuba,CU,79.38,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
431,Puerto Escondido,MX,87.42,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
432,Biak,ID,75.43,broken clouds,-0.9131,122.8766,Penginapan Kim
433,Pundaguitan,PH,80.53,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
435,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
439,Salalah,OM,79.14,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
443,Sarangani,PH,81.59,overcast clouds,5.4033,125.4636,Ballistic Islet
448,Samarai,PG,82.35,moderate rain,-10.6167,150.6667,Nuli Sapi
450,Kutum,SD,77.81,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
451,Sisophon,KH,78.53,overcast clouds,13.5859,102.9737,Pyramid Hotel
452,Bireun,ID,77.59,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
455,Nautla,MX,85.62,scattered clouds,20.2167,-96.7833,Casa Blanca
458,Dabakala,CI,75.88,light rain,8.3667,-4.4333,Hôtel Campement
459,Natchez,US,83.64,light rain,31.5604,-91.4032,Hampton Inn & Suites Natchez
462,Nizwa,OM,81.57,clear sky,22.9333,57.5333,Orient Apartments
463,Pascagoula,US,80.51,overcast clouds,30.3658,-88.5561,Regency Inn
466,Eyl,SO,82.38,scattered clouds,7.9803,49.8164,Amiin Hotel
468,Mouila,GA,75.29,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
469,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
472,Trairi,BR,78.39,overcast clouds,-3.2778,-39.2689,janelas do mar
486,Canutama,BR,75.92,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
488,Areia Branca,BR,81.68,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
491,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Hanoi Golden Hotel
492,Mana,GF,77.54,scattered clouds,5.6592,-53.7767,LE SAMANA
499,Cururupu,BR,75.58,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
500,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,Will T Place
502,Harper,LR,77.34,overcast clouds,4.375,-7.7169,Screensaver
504,Saint-Leu,RE,76.06,clear sky,-21.15,55.2833,La Caz Oceane
505,Bull Savanna,JM,79.2,few clouds,17.8868,-77.5902,Big Red's
507,Doka,SD,87.44,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
509,Caucaia,BR,83.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
519,Yorosso,ML,83.1,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
520,Kokopo,PG,80.22,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
522,Cairns,AU,77.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
527,Daru,PG,79.99,overcast clouds,-9.0763,143.2092,Daru Lodge
