City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Qaanaaq,GL,2022-04-14 21:34:49,77.484,-69.3632,-2.74,90,98,3.98
68,Hobart,AU,2022-04-14 21:29:58,-42.8794,147.3294,62.46,65,75,18.41
69,Coquimbo,CL,2022-04-14 21:34:49,-29.9533,-71.3436,58.73,77,100,4.61
70,Redmond,US,2022-04-14 21:31:28,47.674,-122.1215,50.09,70,93,1.99
71,Te Anau,NZ,2022-04-14 21:34:50,-45.4167,167.7167,52.92,72,8,0.81
72,Namatanai,PG,2022-04-14 21:34:50,-3.6667,152.4333,82.4,74,81,6.64
73,Mareeba,AU,2022-04-14 21:34:50,-17.0,145.4333,68.72,92,100,4.25
74,Bengkulu,ID,2022-04-14 21:34:51,-3.8004,102.2655,76.28,88,99,2.55
75,Betare Oya,CM,2022-04-14 21:34:51,5.6,14.0833,69.03,94,100,3.49
76,Evensk,RU,2022-04-14 21:34:51,61.95,159.2333,24.4,82,100,7.83
77,Bambous Virieux,MU,2022-04-14 21:34:52,-20.3428,57.7575,78.22,73,75,12.66
78,Polyarnyy,RU,2022-04-14 21:34:52,69.1989,33.4478,25.48,95,92,6.55
79,Ahipara,NZ,2022-04-14 21:34:52,-35.1667,173.1667,64.87,58,33,3.71
80,Ushuaia,AR,2022-04-14 21:34:53,-54.8,-68.3,49.66,93,20,17.27
81,Margate,GB,2022-04-14 21:34:53,51.3813,1.3862,54.7,79,100,1.01
82,Ulaanbaatar,MN,2022-04-14 21:34:54,47.9077,106.8832,17.73,86,0,0.0
83,Kurumkan,RU,2022-04-14 21:34:54,54.3,110.3,30.15,80,100,5.55
84,Ust-Nera,RU,2022-04-14 21:34:54,64.5667,143.2,3.58,99,100,3.51
85,Usinsk,RU,2022-04-14 21:34:55,65.9939,57.5281,25.9,85,99,20.2
86,Tura,IN,2022-04-14 21:34:55,25.5198,90.2201,71.33,93,39,8.52
87,Luderitz,NA,2022-04-14 21:34:55,-26.6481,15.1594,60.37,80,20,21.07
88,Souillac,MU,2022-04-14 21:34:56,-20.5167,57.5167,77.38,73,75,12.66
89,El Alto,PE,2022-04-14 21:34:56,-4.2714,-81.2147,74.86,72,64,22.44
90,East London,ZA,2022-04-14 21:35:56,-33.0153,27.9116,68.88,80,100,9.22
91,Hamilton,US,2022-04-14 21:31:44,39.1834,-84.5333,63.09,29,0,17.27
92,Mar Del Plata,AR,2022-04-14 21:31:56,-38.0023,-57.5575,62.1,72,0,8.05
93,Eureka,US,2022-04-14 21:35:57,40.8021,-124.1637,54.12,70,59,4.0
94,Champerico,GT,2022-04-14 21:35:57,14.3,-91.9167,88.34,60,60,12.91
95,Chokurdakh,RU,2022-04-14 21:31:50,70.6333,147.9167,6.39,93,100,7.4
96,Saint-Joseph,RE,2022-04-14 21:32:19,-21.3667,55.6167,77.38,86,46,15.1
