City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Pittsfield,US,2022-04-17 21:47:18,42.4501,-73.2454,46.06,50,75,14.97,broken clouds
60,Pingliang,CN,2022-04-17 21:43:26,35.5392,106.6861,40.37,48,6,7.61,clear sky
61,Butaritari,KI,2022-04-17 21:47:18,3.0707,172.7902,81.63,74,11,11.63,few clouds
62,Yellowknife,CA,2022-04-17 21:47:18,62.456,-114.3525,18.12,49,20,11.5,few clouds
63,Sangar,RU,2022-04-17 21:47:19,63.9242,127.4739,22.08,86,100,18.59,overcast clouds
64,Bathsheba,BB,2022-04-17 21:47:19,13.2167,-59.5167,81.21,74,40,18.41,scattered clouds
65,The Pas,CA,2022-04-17 21:44:50,53.8251,-101.2541,32.02,40,20,5.75,few clouds
66,New Norfolk,AU,2022-04-17 21:47:20,-42.7826,147.0587,54.72,75,100,1.01,overcast clouds
67,Ugoofaaru,MV,2022-04-17 21:47:20,5.6667,73.0,83.93,74,100,8.79,overcast clouds
68,Kibala,TD,2022-04-17 21:47:20,9.1104,18.3463,83.8,56,82,6.78,broken clouds
69,Ushuaia,AR,2022-04-17 21:47:21,-54.8,-68.3,49.66,76,75,17.27,light intensity drizzle
70,Port Hardy,CA,2022-04-17 21:45:24,50.6996,-127.4199,51.98,58,75,26.46,broken clouds
71,Ilulissat,GL,2022-04-17 21:47:21,69.2167,-51.1,17.62,67,75,2.3,light shower snow
72,Turukhansk,RU,2022-04-17 21:47:22,65.8167,87.9833,-0.96,99,97,6.93,overcast clouds
73,Businga,CD,2022-04-17 21:47:22,3.3333,20.8833,73.51,85,41,1.16,light rain
74,Manta,EC,2022-04-17 21:47:22,-0.95,-80.7333,85.78,62,40,5.75,scattered clouds
75,San Patricio,US,2022-04-17 21:47:23,28.017,-97.5169,88.16,54,18,14.32,few clouds
76,Leshukonskoye,RU,2022-04-17 21:47:23,64.8989,45.7622,33.19,98,100,6.06,overcast clouds
77,Atuona,PF,2022-04-17 21:47:23,-9.8,-139.0333,79.75,78,10,16.71,clear sky
78,Avera,US,2022-04-17 21:47:24,33.194,-82.5271,80.55,58,100,4.85,overcast clouds
79,Sundumbili,ZA,2022-04-17 21:47:24,-29.1337,31.3975,62.42,91,100,3.78,overcast clouds
80,Lompoc,US,2022-04-17 21:46:15,34.6391,-120.4579,74.7,66,0,20.0,clear sky
81,Yulara,AU,2022-04-17 21:47:24,-25.2406,130.9889,58.84,55,1,3.44,clear sky
82,Isangel,VU,2022-04-17 21:47:25,-19.55,169.2667,80.71,94,100,0.0,overcast clouds
83,Poum,NC,2022-04-17 21:47:25,-20.2333,164.0167,77.41,68,90,3.29,overcast clouds
84,Fairbanks,US,2022-04-17 21:35:32,64.8378,-147.7164,38.25,26,0,10.36,clear sky
85,Yar-Sale,RU,2022-04-17 21:47:26,66.8333,70.8333,9.7,89,94,8.01,overcast clouds
86,Jiutai,CN,2022-04-17 21:47:26,44.1525,125.8328,37.74,33,84,1.45,broken clouds
87,Souillac,MU,2022-04-17 21:47:26,-20.5167,57.5167,77.38,94,75,0.0,light rain
88,Cidreira,BR,2022-04-17 21:47:27,-30.1811,-50.2056,67.12,71,97,10.85,overcast clouds
89,Hobart,AU,2022-04-17 21:43:09,-42.8794,147.3294,55.06,91,75,8.05,broken clouds
90,Alofi,NU,2022-04-17 21:47:27,-19.0595,-169.9187,84.09,79,81,8.05,broken clouds
91,Romitan,UZ,2022-04-17 21:47:28,39.9343,64.3814,66.15,63,0,6.91,clear sky
92,Vostok,RU,2022-04-17 21:48:28,46.4856,135.8833,31.62,66,15,3.8,few clouds
93,Porto Novo,BJ,2022-04-17 21:48:28,6.4965,2.6036,84.02,77,100,3.74,light rain
94,Port Alfred,ZA,2022-04-17 21:48:29,-33.5906,26.891,63.97,82,20,9.86,few clouds
95,Trelew,AR,2022-04-17 21:48:29,-43.249,-65.3051,62.51,65,1,23.64,clear sky
96,Cabo San Lucas,MX,2022-04-17 21:45:20,22.8909,-109.9124,92.61,51,48,10.87,scattered clouds
97,Samaipata,BO,2022-04-17 21:48:30,-18.15,-63.8667,51.04,72,99,2.8,overcast clouds
98,Saint George,US,2022-04-17 21:48:30,37.1041,-113.5841,84.43,12,0,3.44,clear sky
99,Bogorodskoye,RU,2022-04-17 21:48:31,56.55,37.8833,28.27,85,4,5.53,clear sky
100,Shalya,RU,2022-04-17 21:48:31,57.2471,58.7298,29.97,98,99,4.29,overcast clouds
101,Bethel,US,2022-04-17 21:48:31,41.3712,-73.414,48.65,41,20,13.8,few clouds
102,Hambantota,LK,2022-04-17 21:48:32,6.1241,81.1185,75.54,100,20,3.44,few clouds
103,Eureka,US,2022-04-17 21:48:32,40.8021,-124.1637,62.67,52,100,5.99,overcast clouds
104,Wajima,JP,2022-04-17 21:46:03,37.4,136.9,52.84,54,100,3.87,overcast clouds
105,Sambava,MG,2022-04-17 21:48:32,-14.2667,50.1667,74.97,89,77,9.71,broken clouds
106,Riverton,US,2022-04-17 21:45:25,40.5219,-111.9391,62.35,39,0,8.01,clear sky
107,Inhambane,MZ,2022-04-17 21:48:33,-23.865,35.3833,72.46,91,100,5.64,moderate rain
108,Thompson,CA,2022-04-17 21:48:33,55.7435,-97.8558,32.16,29,40,5.75,scattered clouds
109,Le Port,RE,2022-04-17 21:48:34,-20.9373,55.2919,77.0,90,8,4.52,clear sky
110,Ribeira Grande,PT,2022-04-17 21:48:34,38.5167,-28.7,58.42,71,17,19.66,few clouds
111,Hilo,US,2022-04-17 21:48:34,19.7297,-155.09,81.28,78,100,4.61,moderate rain
112,Nikolskoye,RU,2022-04-17 21:48:35,59.7035,30.7861,37.8,77,100,3.83,overcast clouds
113,Lasa,IT,2022-04-17 21:48:35,46.6166,10.7002,47.28,80,12,3.27,few clouds
114,Ingham,US,2022-04-17 21:48:35,42.6,-84.3833,46.18,42,0,6.91,clear sky
115,San Juan,AR,2022-04-17 21:48:36,-31.5375,-68.5364,73.67,26,0,2.82,clear sky
116,Nabire,ID,2022-04-17 21:48:36,-3.3667,135.4833,76.8,91,93,2.66,moderate rain
117,Norman Wells,CA,2022-04-17 21:48:36,65.282,-126.8329,21.24,35,20,9.22,few clouds
118,Longyearbyen,SJ,2022-04-17 21:48:37,78.2186,15.6401,21.04,86,75,13.8,light snow
119,Abu Zabad,SD,2022-04-17 21:48:37,12.35,29.25,86.97,28,7,6.08,clear sky
120,Gimli,CA,2022-04-17 21:48:38,50.6336,-96.9907,24.82,86,100,6.91,overcast clouds
121,Kavieng,PG,2022-04-17 21:48:38,-2.5744,150.7967,84.63,68,87,13.24,overcast clouds
122,Saskylakh,RU,2022-04-17 21:48:38,71.9167,114.0833,27.79,96,100,13.27,light snow
123,Avarua,CK,2022-04-17 21:48:39,-21.2078,-159.775,82.45,69,28,3.44,scattered clouds
124,Ostrovnoy,RU,2022-04-17 21:48:39,68.0531,39.5131,33.39,90,100,12.46,overcast clouds
125,Touros,BR,2022-04-17 21:48:39,-5.1989,-35.4608,79.84,79,64,7.65,broken clouds
126,Codrington,AU,2022-04-17 21:48:40,-38.2667,141.9667,58.64,84,100,8.19,overcast clouds
127,Dhadar,IN,2022-04-17 21:48:40,28.3305,75.0632,81.64,11,1,7.81,clear sky
128,Verkhoturye,RU,2022-04-17 21:48:40,58.8627,60.8054,20.41,95,9,2.3,clear sky
129,Provideniya,RU,2022-04-17 21:48:41,64.3833,-173.3,32.36,93,100,22.37,overcast clouds
130,Moindou,NC,2022-04-17 21:48:41,-21.6924,165.677,76.73,67,84,2.04,broken clouds
131,Kodiak,US,2022-04-17 21:48:42,57.79,-152.4072,42.31,70,100,9.22,overcast clouds
132,Ancud,CL,2022-04-17 21:48:42,-41.8697,-73.8203,56.23,82,100,4.76,overcast clouds
133,Alice Springs,AU,2022-04-17 21:48:42,-23.7,133.8833,69.22,32,17,6.91,few clouds
134,Voh,NC,2022-04-17 21:48:43,-20.9667,164.7,75.79,72,99,1.45,overcast clouds
135,Emerald,AU,2022-04-17 21:48:43,-23.5333,148.1667,65.34,77,0,8.05,clear sky
136,Aswan,EG,2022-04-17 21:48:43,24.0934,32.907,87.1,16,0,3.44,clear sky
137,Vryburg,ZA,2022-04-17 21:48:44,-26.9566,24.7284,58.32,79,69,4.76,broken clouds
138,Port Hedland,AU,2022-04-17 21:47:38,-20.3167,118.5667,78.85,44,40,9.22,scattered clouds
139,Bytosh,RU,2022-04-17 21:49:44,53.8186,34.0912,32.67,98,100,10.09,light snow
140,Vaiano,IT,2022-04-17 21:49:45,43.949,11.1232,52.3,49,0,3.44,clear sky
141,Nome,US,2022-04-17 21:49:45,64.5011,-165.4064,30.27,86,100,20.71,light snow
142,Juneau,US,2022-04-17 21:49:45,58.3019,-134.4197,44.6,58,75,3.44,broken clouds
143,Bluff,NZ,2022-04-17 21:49:46,-46.6,168.3333,45.81,78,7,8.52,clear sky
144,Ballina,AU,2022-04-17 21:49:46,-28.8667,153.5667,66.16,92,100,6.91,overcast clouds
145,Saldanha,ZA,2022-04-17 21:49:47,-33.0117,17.9442,57.25,85,2,10.69,clear sky
146,Kemi,FI,2022-04-17 21:49:47,65.8596,24.8228,31.77,93,0,2.3,clear sky
147,Tianpeng,CN,2022-04-17 21:49:47,30.9866,103.9393,52.27,80,100,1.72,overcast clouds
148,Strangnas,SE,2022-04-17 21:49:48,59.3774,17.0312,45.07,77,61,5.91,broken clouds
149,Bose,IT,2022-04-17 21:49:48,45.4612,8.0137,53.22,53,95,4.25,overcast clouds
150,Pisco,PE,2022-04-17 21:49:48,-13.7,-76.2167,68.05,77,0,10.36,clear sky
151,Barrow,US,2022-04-17 21:49:49,71.2906,-156.7887,1.42,71,0,8.05,clear sky
152,Kungurtug,RU,2022-04-17 21:49:49,50.5994,97.5228,29.44,85,40,1.97,scattered clouds
153,Menongue,AO,2022-04-17 21:49:49,-14.6585,17.691,62.44,96,18,3.98,few clouds
